platform,content_id,content_type,upload_date,author_username,author_followers,likes,comments,shares,views,engagement_rate,hashtags,sentiment_score,trend_category,video_duration,thumbnail_clicks,subscribers_gained,retweets,quote_tweets,impressions,saves,story_views,is_sponsored,music_used,duets,challenge_tag
TikTok,TI_254553,reel,2024-10-13 22:39:20,@williamsstephen,657628,47404,1831,2304,409483,12.59,"['#Fit', '#Fashion']",0.16,Education,,,,,,,,,,produce,209.0,#capital
Facebook,FA_308154,short_video,2024-03-29 14:29:43,@juliasteele,73266,47783,5235,19414,542864,13.34,"['#Fashion', '#Fit']",0.93,Fashion,,,,,,,,,,,,
Instagram,IN_370959,image,2024-11-05 18:28:14,@berryjoshua,882300,37768,4801,118,101490,42.06,"['#Fit', '#Tech']",-0.15,Fashion,,,,,,,3875.0,13634.0,False,,,
LinkedIn,LI_480568,image,2024-10-10 15:35:48,@crystalgarcia,761458,1462,9321,9588,271903,7.49,"['#Fashion', '#Fit']",-0.16,Tech,,,,,,,,,,,,
YouTube,YO_719122,image,2024-09-20 20:54:36,@devin16,236291,16034,4492,19169,259259,15.31,"['#Life', '#Gaming']",0.93,Tech,1.68,7151.0,99.0,,,,,,,,,
LinkedIn,LI_805213,image,2024-03-19 21:39:32,@hbell,1199366,8957,526,12003,830743,2.59,"['#Fashion', '#Life']",-0.66,Fashion,,,,,,,,,,,,
LinkedIn,LI_897256,reel,2024-08-23 21:31:51,@dillonmurphy,1987683,2957,6739,8802,216426,8.55,"['#Tech', '#Fit']",-0.81,Gaming,,,,,,,,,,,,
Facebook,FA_986564,reel,2024-02-15 08:52:04,@jacqueline18,136671,35365,6576,18779,374426,16.22,"['#Fashion', '#Tech']",-0.09,Fashion,,,,,,,,,,,,
Twitter,TW_645269,short_video,2024-10-02 23:00:20,@gmoore,1532204,31046,9213,17303,729928,7.89,"['#Tech', '#Gaming']",0.78,Tech,,,,1760.0,168.0,188878.0,,,,,,
Twitter,TW_444790,video,2024-06-13 10:41:06,@lunadana,768215,3135,288,7237,820252,1.3,"['#Fit', '#Tech']",-0.36,Gaming,,,,919.0,306.0,481506.0,,,,,,
LinkedIn,LI_518150,video,2024-08-29 21:27:34,@zcunningham,760783,38725,472,3573,30573,139.89,"['#Fit', '#Life']",0.99,Gaming,,,,,,,,,,,,
TikTok,TI_971231,video,2024-10-25 19:37:25,@jeffrey48,208971,5307,8832,7741,933568,2.34,"['#Gaming', '#Tech']",-0.91,Gaming,,,,,,,,,,take,23.0,#second
LinkedIn,LI_865049,reel,2024-01-15 13:43:54,@ubenton,681198,7421,5207,355,794184,1.63,"['#Tech', '#Fit']",0.35,Gaming,,,,,,,,,,,,
Instagram,IN_126958,short_video,2024-10-13 21:46:02,@maloneantonio,514459,5723,715,10631,266616,6.4,"['#Fit', '#Life']",-0.3,Fitness,,,,,,,1737.0,15017.0,True,,,
Twitter,TW_902371,short_video,2024-01-27 12:50:23,@burtonchristine,132894,898,1713,526,991967,0.32,"['#Tech', '#Fashion']",-0.69,Education,,,,3160.0,1475.0,316338.0,,,,,,
Facebook,FA_151009,reel,2024-03-07 04:20:38,@ibailey,1443593,46290,9355,7966,171401,37.11,"['#Tech', '#Fashion']",0.57,Education,,,,,,,,,,,,
YouTube,YO_418181,short_video,2024-03-20 22:49:51,@grayamy,1483695,22659,7597,17275,135469,35.09,"['#Tech', '#Life']",-0.38,Fashion,27.47,6493.0,532.0,,,,,,,,,
Instagram,IN_692096,reel,2024-09-17 18:50:03,@dustinevans,1985593,6993,2879,14927,969240,2.56,"['#Life', '#Fit']",-0.19,Fitness,,,,,,,295.0,18465.0,True,,,
TikTok,TI_420649,image,2024-03-05 05:44:13,@amanda45,625880,10001,1542,8900,571185,3.58,"['#Life', '#Tech']",-0.11,Tech,,,,,,,,,,turn,335.0,#window
Facebook,FA_785235,video,2024-05-10 15:55:39,@shawaaron,978740,16344,779,9167,180401,14.57,"['#Tech', '#Gaming']",-0.97,Education,,,,,,,,,,,,
Instagram,IN_819054,video,2024-08-31 05:39:04,@butlerkelly,1992140,2580,4294,11482,562901,3.26,"['#Fit', '#Fashion']",0.54,Fashion,,,,,,,2897.0,1678.0,False,,,
LinkedIn,LI_240421,short_video,2024-07-29 13:00:54,@jamieduran,1504269,3882,4916,18753,377928,7.29,"['#Fit', '#Gaming']",0.4,Education,,,,,,,,,,,,
Twitter,TW_766490,short_video,2024-06-27 08:18:29,@jperez,880923,34798,9038,12204,924791,6.06,"['#Fashion', '#Life']",0.89,Gaming,,,,3113.0,1788.0,418906.0,,,,,,
YouTube,YO_314002,video,2024-07-15 08:20:18,@amandabernard,104841,31195,8410,11155,331478,15.31,"['#Life', '#Fashion']",0.04,Gaming,8.36,2254.0,438.0,,,,,,,,,
YouTube,YO_865826,short_video,2024-07-08 11:06:38,@claire81,56839,45087,6441,2370,814583,6.62,"['#Life', '#Gaming']",-0.6,Tech,51.71,4221.0,991.0,,,,,,,,,
YouTube,YO_449614,video,2024-02-03 21:21:00,@alexander91,1219336,6508,5943,9910,422136,5.3,"['#Tech', '#Gaming']",0.46,Fitness,20.29,4684.0,687.0,,,,,,,,,
Facebook,FA_358306,short_video,2024-10-29 15:50:11,@vshields,446364,32462,3181,8646,514104,8.61,"['#Gaming', '#Fit']",-0.77,Gaming,,,,,,,,,,,,
Facebook,FA_980287,image,2024-03-15 02:19:50,@sallysullivan,1131732,45217,832,8911,99499,55.24,"['#Fashion', '#Life']",-0.5,Education,,,,,,,,,,,,
Twitter,TW_739515,video,2024-09-09 01:40:34,@jessicamccullough,979688,45058,2620,19492,688240,9.76,"['#Fashion', '#Tech']",-0.41,Tech,,,,3089.0,1642.0,495391.0,,,,,,
Twitter,TW_185428,short_video,2024-05-28 03:30:00,@dustin20,1252535,34399,6105,19818,57430,105.04,"['#Fashion', '#Fit']",-0.66,Education,,,,4057.0,1161.0,666713.0,,,,,,
YouTube,YO_982646,image,2024-10-06 07:30:11,@oliviamaxwell,370023,15299,2093,13687,852573,3.65,"['#Gaming', '#Fit']",-0.81,Gaming,56.19,7351.0,892.0,,,,,,,,,
Facebook,FA_838026,short_video,2024-12-01 03:42:45,@michael47,1116906,28753,5578,13609,36065,132.93,"['#Fashion', '#Fit']",-0.34,Fitness,,,,,,,,,,,,
LinkedIn,LI_609850,video,2024-06-02 17:48:35,@shannon56,408461,18808,8423,7660,751674,4.64,"['#Fashion', '#Tech']",-0.91,Tech,,,,,,,,,,,,
Twitter,TW_263667,image,2024-02-15 22:10:57,@barrerabridget,71609,3601,6739,2104,121467,10.24,"['#Fashion', '#Gaming']",0.09,Education,,,,737.0,586.0,3327.0,,,,,,
TikTok,TI_417042,image,2024-09-21 06:43:54,@wpatton,1413725,17756,2868,17488,686072,5.56,"['#Life', '#Gaming']",0.45,Tech,,,,,,,,,,happen,315.0,#data
Twitter,TW_731072,reel,2024-08-14 09:38:07,@michaelgutierrez,811626,23677,9806,9824,553335,7.83,"['#Tech', '#Fashion']",0.73,Fitness,,,,1012.0,391.0,217174.0,,,,,,
LinkedIn,LI_565686,image,2024-02-06 13:06:19,@blee,94046,4644,2405,7670,692109,2.13,"['#Fit', '#Gaming']",0.55,Fashion,,,,,,,,,,,,
LinkedIn,LI_572321,video,2024-08-31 23:45:37,@lbernard,96397,36165,7620,2983,580934,8.05,"['#Tech', '#Gaming']",0.98,Tech,,,,,,,,,,,,
LinkedIn,LI_526211,video,2024-03-27 14:58:55,@williamsglenn,418551,36511,2852,12772,866230,6.02,"['#Tech', '#Fit']",0.71,Fitness,,,,,,,,,,,,
Twitter,TW_234796,reel,2024-08-22 23:42:22,@jamie22,1982885,6356,5031,4368,553262,2.85,"['#Fashion', '#Gaming']",-0.57,Fitness,,,,202.0,826.0,640761.0,,,,,,
Instagram,IN_829964,image,2024-03-27 01:31:32,@gravesjohn,1109011,26968,5293,18728,461673,11.04,"['#Tech', '#Fashion']",-0.82,Tech,,,,,,,612.0,1772.0,True,,,
Twitter,TW_853053,image,2024-05-17 08:06:53,@angelhenry,1164988,10736,6178,17878,458340,7.59,"['#Life', '#Gaming']",-0.75,Fashion,,,,3097.0,1872.0,826378.0,,,,,,
Twitter,TW_669726,reel,2024-10-22 13:29:52,@jfisher,1683287,15391,5446,5695,24726,107.3,"['#Tech', '#Life']",-0.42,Gaming,,,,3189.0,785.0,27886.0,,,,,,
YouTube,YO_525349,video,2024-02-03 11:04:13,@robertfisher,183029,19542,9195,5889,684239,5.06,"['#Fit', '#Gaming']",0.89,Tech,31.22,5050.0,106.0,,,,,,,,,
Instagram,IN_565712,short_video,2024-06-21 17:11:48,@schmidtcindy,1522307,44585,152,10808,242704,22.89,"['#Tech', '#Fit']",0.31,Tech,,,,,,,2059.0,6101.0,False,,,
TikTok,TI_181703,reel,2024-09-09 00:11:22,@skhan,82552,14628,7279,11784,958614,3.51,"['#Gaming', '#Fit']",-0.8,Gaming,,,,,,,,,,one,42.0,#anyone
Facebook,FA_818461,reel,2024-03-22 01:39:02,@michelle63,1283632,3297,5909,13265,568372,3.95,"['#Tech', '#Life']",0.43,Gaming,,,,,,,,,,,,
Instagram,IN_993102,image,2024-06-19 04:55:20,@lharrington,1167188,35465,4331,3204,264768,16.24,"['#Fashion', '#Gaming']",0.16,Tech,,,,,,,1159.0,19641.0,True,,,
TikTok,TI_141880,short_video,2024-09-08 05:41:02,@ruizariel,1955812,46592,2617,2180,484921,10.6,"['#Gaming', '#Fashion']",0.46,Gaming,,,,,,,,,,strong,494.0,#star
YouTube,YO_155780,reel,2024-07-11 17:52:25,@jessica92,531089,31699,9314,17122,727135,8.0,"['#Fit', '#Life']",0.83,Fitness,6.35,8440.0,679.0,,,,,,,,,
Facebook,FA_490027,image,2024-08-10 13:02:06,@elizabeth22,270401,35137,829,18029,356334,15.15,"['#Tech', '#Fashion']",0.73,Fashion,,,,,,,,,,,,
Twitter,TW_766056,short_video,2024-08-03 10:09:55,@kimmichaela,518091,21681,8285,19949,923083,5.41,"['#Gaming', '#Fit']",0.98,Tech,,,,3709.0,484.0,823935.0,,,,,,
Twitter,TW_469285,image,2024-04-01 08:42:17,@carolyn29,1776316,843,1232,8461,319470,3.3,"['#Gaming', '#Tech']",0.32,Education,,,,690.0,908.0,84780.0,,,,,,
Twitter,TW_520218,video,2024-03-14 13:47:41,@troy61,560025,12212,6282,5897,112727,21.64,"['#Life', '#Fashion']",0.14,Fitness,,,,4537.0,1212.0,970821.0,,,,,,
TikTok,TI_378784,video,2024-08-20 06:58:28,@jadams,1563124,49809,9349,16963,727304,10.47,"['#Fit', '#Tech']",0.67,Fashion,,,,,,,,,,value,430.0,#camera
LinkedIn,LI_704029,video,2024-11-20 16:00:36,@stewartamanda,1373192,25234,7837,19852,652017,8.12,"['#Tech', '#Gaming']",-0.43,Fashion,,,,,,,,,,,,
Facebook,FA_120716,image,2024-03-12 11:21:22,@mckaydennis,1185111,36620,369,2611,312798,12.66,"['#Gaming', '#Tech']",0.62,Education,,,,,,,,,,,,
LinkedIn,LI_937576,video,2024-06-08 09:22:13,@taylordeborah,647714,11769,5752,4731,810018,2.75,"['#Fit', '#Fashion']",0.0,Fitness,,,,,,,,,,,,
Instagram,IN_416406,short_video,2024-07-31 18:32:16,@juan05,1579442,24143,326,9611,471405,7.23,"['#Life', '#Gaming']",0.27,Tech,,,,,,,4275.0,17933.0,False,,,
Facebook,FA_596956,video,2024-11-15 17:11:33,@rasmussenwillie,436020,34978,1772,9999,593128,7.88,"['#Tech', '#Fashion']",0.44,Fashion,,,,,,,,,,,,
Instagram,IN_206141,reel,2024-11-18 22:36:21,@joannroberts,1472084,37167,9890,6206,264793,20.11,"['#Gaming', '#Fit']",-0.21,Fitness,,,,,,,4387.0,4484.0,True,,,
YouTube,YO_854384,video,2024-07-10 06:17:14,@sabrinamartinez,1202465,16150,1863,4701,11074,205.11,"['#Fashion', '#Fit']",0.37,Fitness,19.99,6505.0,165.0,,,,,,,,,
TikTok,TI_115587,image,2024-04-20 20:57:09,@richardschristina,1677981,11067,2715,6978,658003,3.16,"['#Fit', '#Gaming']",-0.09,Fashion,,,,,,,,,,wide,72.0,#security
YouTube,YO_997420,image,2024-10-21 04:36:53,@stephanie32,1576810,49404,4503,15354,741880,9.34,"['#Fit', '#Gaming']",0.74,Tech,35.57,6886.0,873.0,,,,,,,,,
YouTube,YO_218990,reel,2024-01-01 15:16:30,@lmyers,1831599,16963,2491,4607,995450,2.42,"['#Life', '#Fit']",-0.14,Fashion,4.86,8311.0,225.0,,,,,,,,,
Twitter,TW_873618,reel,2024-06-15 19:27:17,@ericalewis,473561,12959,3616,18870,543976,6.52,"['#Life', '#Tech']",-0.39,Fitness,,,,4690.0,354.0,902472.0,,,,,,
Facebook,FA_273209,video,2024-10-25 13:32:13,@bhunter,149613,10253,3920,11496,528335,4.86,"['#Tech', '#Gaming']",0.89,Fitness,,,,,,,,,,,,
Facebook,FA_209117,short_video,2024-07-22 00:56:20,@christopherbecker,308194,2724,2042,15293,587252,3.42,"['#Tech', '#Life']",0.93,Fashion,,,,,,,,,,,,
Facebook,FA_737077,image,2024-11-07 11:26:41,@cherylharding,526870,11942,5373,12890,206059,14.66,"['#Fashion', '#Gaming']",-0.68,Fitness,,,,,,,,,,,,
Twitter,TW_682830,video,2024-02-06 18:04:14,@yparsons,26676,28033,3986,5790,180775,20.91,"['#Fashion', '#Fit']",-0.95,Education,,,,4184.0,1908.0,588704.0,,,,,,
Instagram,IN_514433,image,2024-06-26 06:38:30,@andrea74,757452,5623,6828,2918,375607,4.09,"['#Life', '#Gaming']",-0.69,Gaming,,,,,,,4759.0,14744.0,True,,,
Twitter,TW_264386,short_video,2024-06-05 11:20:18,@donald43,1385612,47966,6241,13140,522970,12.88,"['#Fit', '#Gaming']",-0.53,Tech,,,,2649.0,1527.0,220997.0,,,,,,
TikTok,TI_714803,image,2024-06-20 09:43:22,@jack70,801675,20426,8353,6066,515125,6.76,"['#Fashion', '#Gaming']",-0.91,Education,,,,,,,,,,land,104.0,#head
Twitter,TW_684739,reel,2024-04-13 05:54:51,@alisha48,636144,10089,4161,11880,357949,7.3,"['#Fashion', '#Life']",0.82,Education,,,,4445.0,1713.0,235735.0,,,,,,
Instagram,IN_641462,video,2024-08-05 03:25:13,@ahopkins,528625,22653,3419,11610,894550,4.21,"['#Life', '#Tech']",0.51,Gaming,,,,,,,3217.0,17049.0,True,,,
Facebook,FA_855638,reel,2024-08-13 01:01:09,@riverastephanie,1379313,46876,7759,11195,882247,7.46,"['#Tech', '#Gaming']",0.81,Fashion,,,,,,,,,,,,
Facebook,FA_379758,reel,2024-10-08 18:27:40,@frankcheryl,1703686,16651,6499,14439,532712,7.06,"['#Life', '#Tech']",-0.6,Education,,,,,,,,,,,,
TikTok,TI_945719,reel,2024-01-12 06:22:41,@mdiaz,1788318,47833,2980,12119,820288,7.67,"['#Gaming', '#Life']",0.15,Gaming,,,,,,,,,,early,29.0,#through
LinkedIn,LI_868165,image,2024-01-01 23:05:05,@christophergutierrez,435382,45196,150,2032,177487,26.69,"['#Fashion', '#Tech']",0.84,Tech,,,,,,,,,,,,
LinkedIn,LI_701761,image,2024-05-20 01:20:15,@eparker,366137,26163,7707,4822,999309,3.87,"['#Fit', '#Fashion']",0.45,Fashion,,,,,,,,,,,,
YouTube,YO_711750,image,2024-05-20 23:55:05,@mannjeffrey,1876367,28308,6621,742,417625,8.54,"['#Fit', '#Life']",0.32,Gaming,16.52,250.0,284.0,,,,,,,,,
Instagram,IN_469536,reel,2024-05-05 12:08:46,@ycompton,1949793,4000,8555,9763,773900,2.88,"['#Gaming', '#Fashion']",-0.61,Education,,,,,,,3233.0,16199.0,False,,,
Instagram,IN_320262,image,2024-06-04 19:52:10,@hayesjesse,1357753,40021,1697,8379,71773,69.8,"['#Fashion', '#Gaming']",0.47,Education,,,,,,,3911.0,2399.0,True,,,
Facebook,FA_471936,image,2024-09-20 19:09:49,@joannnelson,310874,22814,5737,15781,909384,4.87,"['#Tech', '#Fashion']",-0.51,Fitness,,,,,,,,,,,,
Twitter,TW_414190,video,2024-08-20 01:28:41,@alexandraellis,1900415,12928,3629,5623,396844,5.59,"['#Gaming', '#Fit']",-0.37,Fitness,,,,1792.0,703.0,395059.0,,,,,,
YouTube,YO_295524,image,2024-05-22 07:08:18,@davidmiddleton,392683,25955,9365,4856,650290,6.18,"['#Tech', '#Fashion']",0.78,Tech,54.17,9686.0,351.0,,,,,,,,,
LinkedIn,LI_261539,reel,2024-04-17 06:37:11,@beverly76,553205,6040,2434,12816,276283,7.71,"['#Life', '#Fit']",-0.03,Gaming,,,,,,,,,,,,
Twitter,TW_358186,image,2024-10-23 02:10:14,@lee38,1637483,17140,1613,2769,165385,13.01,"['#Tech', '#Fashion']",-0.83,Gaming,,,,4114.0,1068.0,415102.0,,,,,,
LinkedIn,LI_785407,reel,2024-11-12 23:10:04,@stewartrichard,1884624,44620,2472,352,394129,12.04,"['#Life', '#Fashion']",-0.02,Tech,,,,,,,,,,,,
Twitter,TW_788239,short_video,2024-05-31 22:46:18,@michelle55,431337,36140,7609,3835,14594,326.05,"['#Tech', '#Life']",-0.31,Fitness,,,,4307.0,51.0,403690.0,,,,,,
LinkedIn,LI_333680,reel,2024-09-23 16:14:48,@campbellmichael,544448,48596,2424,14663,807864,8.13,"['#Fashion', '#Fit']",0.52,Education,,,,,,,,,,,,
LinkedIn,LI_629043,reel,2024-12-29 12:26:09,@walvarez,1746586,24088,2413,14161,325431,12.49,"['#Fashion', '#Fit']",0.21,Tech,,,,,,,,,,,,
Facebook,FA_200227,video,2024-08-14 03:02:21,@geraldstokes,937639,31762,8930,8307,427877,11.45,"['#Fashion', '#Fit']",-0.21,Gaming,,,,,,,,,,,,
LinkedIn,LI_228769,reel,2024-09-16 18:40:26,@pittmanlynn,428384,7656,8856,6353,992188,2.3,"['#Fashion', '#Tech']",0.81,Tech,,,,,,,,,,,,
Instagram,IN_573271,reel,2024-02-17 06:08:41,@nwilson,140129,30369,3094,13145,502045,9.28,"['#Fit', '#Life']",-0.56,Tech,,,,,,,228.0,16134.0,True,,,
Instagram,IN_197675,video,2024-02-02 19:00:59,@millertammy,1008531,33708,8436,12247,922837,5.89,"['#Fit', '#Gaming']",-0.04,Education,,,,,,,4656.0,8948.0,True,,,
LinkedIn,LI_552051,reel,2024-10-06 18:51:41,@yflores,1008505,28523,3495,5697,475024,7.94,"['#Life', '#Fit']",-0.35,Education,,,,,,,,,,,,
TikTok,TI_662953,short_video,2024-01-15 04:36:50,@michaelnewman,775433,43190,214,3652,525893,8.95,"['#Fashion', '#Gaming']",0.74,Fashion,,,,,,,,,,risk,280.0,#tree
Facebook,FA_722105,image,2024-05-03 11:17:09,@reneebaker,1416805,4313,95,1260,739446,0.77,"['#Fit', '#Life']",-0.29,Tech,,,,,,,,,,,,
Facebook,FA_161376,image,2024-01-03 08:54:10,@pduncan,1526838,11718,4650,16171,910375,3.57,"['#Gaming', '#Tech']",0.04,Fitness,,,,,,,,,,,,
LinkedIn,LI_554080,video,2024-08-27 04:46:19,@maldonadokevin,1126956,7976,5855,6414,554284,3.65,"['#Life', '#Gaming']",-0.07,Fitness,,,,,,,,,,,,
Facebook,FA_775312,reel,2024-08-04 04:54:26,@mholt,1704349,754,5381,16385,131871,17.08,"['#Fit', '#Gaming']",-0.86,Fashion,,,,,,,,,,,,
LinkedIn,LI_774362,video,2024-05-02 16:01:07,@wpennington,1385554,32003,8617,10370,475700,10.72,"['#Fit', '#Gaming']",0.66,Fitness,,,,,,,,,,,,
Instagram,IN_622996,image,2024-08-04 17:06:55,@fryalex,1399521,31502,4750,3515,816558,4.87,"['#Fit', '#Tech']",0.58,Gaming,,,,,,,1018.0,19733.0,False,,,
Instagram,IN_454737,video,2024-12-12 15:32:28,@vernonsherman,338264,22530,501,14584,193690,19.42,"['#Fashion', '#Gaming']",0.49,Gaming,,,,,,,1151.0,19585.0,True,,,
Instagram,IN_185337,short_video,2024-08-10 18:01:12,@joshualee,545271,27464,3288,4526,261778,13.48,"['#Gaming', '#Life']",0.88,Fashion,,,,,,,3745.0,6904.0,True,,,
YouTube,YO_566005,video,2024-03-20 11:47:01,@davisstephen,450353,29572,5151,16043,872089,5.82,"['#Life', '#Gaming']",-0.36,Tech,59.05,1573.0,18.0,,,,,,,,,
YouTube,YO_973833,short_video,2024-12-26 00:43:50,@cohenaudrey,486758,9196,3763,16421,588827,4.99,"['#Fashion', '#Tech']",-0.76,Fitness,51.33,7190.0,938.0,,,,,,,,,
YouTube,YO_929174,short_video,2024-09-02 23:51:38,@chungmichelle,512861,31992,5159,15824,321068,16.5,"['#Life', '#Fit']",0.03,Education,32.93,5380.0,224.0,,,,,,,,,
Facebook,FA_677588,reel,2024-04-15 03:06:59,@christian08,124992,35810,4332,1062,243181,16.94,"['#Fashion', '#Gaming']",-0.77,Fashion,,,,,,,,,,,,
LinkedIn,LI_313539,reel,2024-11-02 03:13:18,@monica52,773621,18199,1224,18915,951401,4.03,"['#Gaming', '#Tech']",-0.18,Tech,,,,,,,,,,,,
TikTok,TI_759418,video,2024-03-18 22:32:14,@floresangela,1401900,24043,5960,7658,957377,3.93,"['#Tech', '#Fit']",-0.7,Education,,,,,,,,,,safe,432.0,#simply
Twitter,TW_373188,reel,2024-04-04 10:00:57,@holly62,1151863,17939,9015,19028,735379,6.25,"['#Fit', '#Tech']",0.21,Fashion,,,,3838.0,653.0,750436.0,,,,,,
Twitter,TW_970553,image,2024-10-26 09:30:02,@ambergreen,1785751,45494,6609,16514,71127,96.47,"['#Life', '#Tech']",0.42,Education,,,,4051.0,994.0,220546.0,,,,,,
LinkedIn,LI_494244,video,2024-02-04 17:04:08,@srush,1989172,9470,9606,12261,852262,3.68,"['#Tech', '#Life']",0.38,Education,,,,,,,,,,,,
Facebook,FA_929746,image,2024-12-17 15:24:17,@nevans,1750330,18970,7912,6133,141509,23.33,"['#Tech', '#Gaming']",0.46,Fitness,,,,,,,,,,,,
Twitter,TW_571674,reel,2024-02-21 13:44:42,@collinsjames,415018,5012,5764,14579,352132,7.2,"['#Gaming', '#Tech']",0.93,Gaming,,,,2721.0,1024.0,642332.0,,,,,,
YouTube,YO_528497,reel,2024-05-28 09:45:45,@debra70,1080415,4329,314,2110,968879,0.7,"['#Fit', '#Life']",-0.35,Gaming,44.1,7079.0,728.0,,,,,,,,,
Instagram,IN_591219,video,2024-09-05 06:21:12,@ramoslisa,94921,35815,4126,11554,628339,8.2,"['#Life', '#Fit']",0.28,Fitness,,,,,,,2929.0,11025.0,False,,,
TikTok,TI_145948,video,2024-03-29 17:38:55,@ychase,659776,16834,8300,7300,660314,4.91,"['#Tech', '#Life']",0.62,Education,,,,,,,,,,action,63.0,#protect
Twitter,TW_784940,short_video,2024-07-19 20:30:08,@lisacowan,1179303,12222,8326,5209,527998,4.88,"['#Gaming', '#Fashion']",0.49,Gaming,,,,1890.0,1135.0,978838.0,,,,,,
Twitter,TW_501658,reel,2024-05-11 16:34:45,@kylie70,228602,27165,3385,15683,238482,19.39,"['#Fit', '#Gaming']",-0.79,Tech,,,,357.0,207.0,827278.0,,,,,,
TikTok,TI_690291,image,2024-12-16 15:01:19,@robertmorales,1130078,41301,9969,2092,652164,8.18,"['#Fit', '#Life']",-0.09,Fitness,,,,,,,,,,manage,284.0,#democratic
