platform,product_id,product_name,category,price,discount,sales_volume,ratings,reviews,seller_name,trend_score,search_rank,click_through_rate,assured_tag,exchange_offered,amazon_choice_badge,fulfillment_type,fashion_size,outfit_recommendations
Meesho,MEE_835482,Cross-platform real-time database,Fashion,303.6,15%,1269,3.6,873,Fry Ltd,33,#25,7.42%,,,,,,
Meesho,MEE_685328,Exclusive modular portal,Fitness,30.21,34%,2662,1.6,1377,"Hood, Garcia and Reed",59,#19,9.12%,,,,,,
Amazon,AMA_563313,Optional scalable algorithm,Home,37.01,43%,8375,4.9,710,Davis Ltd,37,#84,4.46%,,,False,FBM,,
Myntra,MYN_802149,Future-proofed radical workforce,Fitness,90.13,4%,3652,2.8,130,White Ltd,76,#51,2.38%,,,,,XL,False
Flipkart,FLI_897973,Fully-configurable fault-tolerant superstructure,Home,365.85,5%,9335,1.6,285,Mendoza Inc,3,#38,5.23%,False,True,,,,
Myntra,MYN_725143,Secured optimizing Internet solution,Fitness,252.28,10%,9612,2.2,1272,Lewis-Moore,100,#74,5.03%,,,,,L,True
Meesho,MEE_540384,Fundamental zero tolerance attitude,Beauty,304.51,21%,7109,3.9,521,Wells-Freeman,28,#45,5.88%,,,,,,
Myntra,MYN_600998,Networked well-modulated focus group,Fitness,321.69,1%,6452,4.1,1058,Brown Group,33,#91,6.9%,,,,,L,True
Flipkart,FLI_420648,Ameliorated exuding support,Fitness,368.17,20%,2877,2.8,494,"Henson, Leon and Walters",11,#48,2.65%,True,True,,,,
Meesho,MEE_291986,Versatile grid-enabled model,Fitness,398.19,1%,1085,3.2,1180,Archer Inc,89,#53,2.58%,,,,,,
Flipkart,FLI_421427,Diverse methodical open system,Home,420.13,39%,6668,2.1,347,"Hernandez, Wilson and Chung",48,#88,8.81%,True,True,,,,
Myntra,MYN_811817,Monitored tertiary capacity,Beauty,473.31,29%,344,1.9,1164,"Garcia, Myers and Cooper",87,#18,1.68%,,,,,L,False
Myntra,MYN_145283,Triple-buffered hybrid groupware,Home,374.01,11%,7595,3.7,1182,"Osborne, Payne and Porter",80,#13,7.08%,,,,,XL,False
Myntra,MYN_377820,Down-sized foreground neural-net,Beauty,464.91,29%,5751,2.2,1108,Rodriguez-Barton,11,#6,3.51%,,,,,L,False
Amazon,AMA_878942,Organized motivating standardization,Home,105.8,14%,3841,4.4,1161,Thompson-Perez,67,#21,5.73%,,,False,FBA,,
Flipkart,FLI_557455,Triple-buffered zero-defect paradigm,Beauty,200.61,2%,5203,2.0,1007,"Joseph, Hawkins and Smith",71,#48,3.0%,True,True,,,,
Meesho,MEE_208756,Triple-buffered systematic orchestration,Fashion,253.69,33%,209,1.7,1411,Vasquez Group,72,#81,0.69%,,,,,,
Flipkart,FLI_998170,Universal client-server toolset,Beauty,458.94,47%,9181,4.1,839,Martin-Wilson,86,#97,2.59%,False,True,,,,
Meesho,MEE_382604,Reverse-engineered analyzing workforce,Beauty,429.73,35%,5884,4.7,1176,Watts-Calhoun,46,#86,4.07%,,,,,,
Flipkart,FLI_823001,User-centric web-enabled adapter,Home,37.19,38%,3066,1.8,1632,"Dominguez, Johnson and Simmons",33,#27,5.53%,False,False,,,,
Meesho,MEE_527215,Open-source intermediate open architecture,Fitness,476.2,5%,4334,4.5,1939,"Lewis, Davis and Oliver",90,#48,3.57%,,,,,,
Flipkart,FLI_150579,Robust leadingedge budgetary management,Fashion,58.78,34%,4078,3.6,339,Grant Inc,4,#17,6.92%,False,False,,,,
Amazon,AMA_218637,Enhanced impactful approach,Home,336.0,45%,3026,1.1,1716,Coleman Group,33,#33,0.57%,,,True,FBM,,
Myntra,MYN_455659,Centralized composite challenge,Electronics,92.09,20%,4416,1.9,322,Thomas-Martin,84,#28,4.1%,,,,,S,True
Flipkart,FLI_747448,Switchable actuating neural-net,Electronics,400.28,46%,8310,1.8,820,Sutton PLC,9,#99,9.57%,True,False,,,,
Meesho,MEE_737361,Multi-layered bandwidth-monitored open system,Home,46.4,7%,1394,3.4,1576,Thompson Group,38,#39,5.17%,,,,,,
Flipkart,FLI_276520,Realigned bottom-line strategy,Electronics,164.04,28%,9514,2.3,1793,"Campbell, Parker and Hickman",5,#24,7.0%,False,True,,,,
Meesho,MEE_757286,Seamless tangible pricing structure,Electronics,373.22,30%,6683,4.9,1427,Wright PLC,48,#55,6.83%,,,,,,
Meesho,MEE_275484,Expanded tangible portal,Fashion,276.73,32%,4130,4.7,344,"Robinson, Bray and Rojas",63,#80,7.68%,,,,,,
Amazon,AMA_465847,Adaptive dedicated hierarchy,Fashion,364.36,6%,3415,2.2,1943,Roberts-Howard,23,#76,9.91%,,,True,FBA,,
Meesho,MEE_576192,Right-sized client-driven capability,Home,302.68,14%,1174,3.3,449,Anderson and Sons,80,#44,7.64%,,,,,,
Myntra,MYN_527536,Horizontal zero-defect process improvement,Fashion,237.61,20%,6314,4.4,487,"Pierce, Stone and Kline",53,#43,3.16%,,,,,S,False
Amazon,AMA_375693,Focused responsive collaboration,Fitness,201.85,0%,767,1.9,1223,Moore Inc,26,#62,8.05%,,,False,FBA,,
Meesho,MEE_162905,Public-key logistical task-force,Fashion,77.11,7%,5574,2.2,1493,"Rivas, Evans and Cox",10,#75,8.92%,,,,,,
Myntra,MYN_336388,Reverse-engineered high-level interface,Electronics,149.07,23%,4195,1.0,1293,White-Baker,31,#44,0.56%,,,,,S,False
Myntra,MYN_276011,Operative multimedia alliance,Beauty,165.42,4%,330,1.7,605,"Kirk, Walker and King",71,#35,1.76%,,,,,M,True
Flipkart,FLI_190967,Diverse analyzing instruction set,Electronics,405.97,34%,6715,1.2,376,Weaver-Morales,60,#23,4.01%,False,True,,,,
Meesho,MEE_578039,Automated static customer loyalty,Beauty,213.54,42%,2879,1.3,600,Cuevas Group,46,#77,3.22%,,,,,,
Amazon,AMA_876217,Polarized multi-tasking forecast,Electronics,30.27,30%,4346,3.8,1796,"Garrison, Lee and Porter",55,#49,6.03%,,,False,FBA,,
Amazon,AMA_551750,Up-sized object-oriented forecast,Electronics,178.96,16%,3870,1.7,1158,Rodriguez Ltd,96,#69,3.54%,,,False,FBM,,
Flipkart,FLI_778793,Function-based real-time circuit,Home,88.72,31%,6154,2.3,741,Jones-Smith,63,#44,2.78%,False,True,,,,
Myntra,MYN_550056,Grass-roots national product,Fitness,111.22,4%,6471,2.6,895,Lindsey Ltd,5,#85,4.21%,,,,,M,True
Meesho,MEE_359519,Public-key well-modulated superstructure,Home,122.1,6%,4573,3.7,698,Steele Ltd,70,#11,2.7%,,,,,,
Myntra,MYN_281324,Networked uniform benchmark,Home,400.87,7%,9090,1.7,1095,Barnett-Gutierrez,45,#47,1.8%,,,,,L,True
Meesho,MEE_960867,Vision-oriented bottom-line infrastructure,Electronics,208.04,46%,6586,2.6,1528,Lee-Williams,36,#78,8.53%,,,,,,
Myntra,MYN_533694,Digitized radical focus group,Fashion,219.37,12%,2906,2.4,1498,"Hansen, Graham and Wright",16,#50,3.02%,,,,,L,False
Myntra,MYN_178878,Optional radical toolset,Fitness,183.12,3%,9626,2.4,482,"Garner, Torres and Stevens",97,#85,4.68%,,,,,XL,True
Amazon,AMA_725133,Advanced value-added focus group,Beauty,84.54,5%,8053,2.7,858,"Jackson, Mccarthy and Rogers",91,#10,7.38%,,,False,FBA,,
Myntra,MYN_240737,Automated methodical service-desk,Electronics,332.7,31%,6174,1.7,748,Brown Inc,8,#27,9.37%,,,,,M,True
Flipkart,FLI_327860,Secured actuating Local Area Network,Home,169.47,33%,5576,3.9,453,Anderson and Sons,42,#24,6.41%,True,True,,,,
Flipkart,FLI_849332,Assimilated maximized projection,Fitness,211.48,5%,8460,5.0,1993,Dennis-Smith,3,#78,0.95%,True,True,,,,
Amazon,AMA_221192,Ameliorated 4thgeneration conglomeration,Electronics,201.76,25%,9487,3.7,1357,Khan LLC,71,#1,4.71%,,,False,FBA,,
Myntra,MYN_612013,Expanded homogeneous time-frame,Beauty,220.66,41%,9661,2.7,1828,"Martinez, Robbins and Morris",67,#26,9.31%,,,,,M,True
Amazon,AMA_376464,Persevering bifurcated Graphic Interface,Electronics,245.21,43%,3048,2.8,808,Warner-Martinez,8,#7,2.95%,,,False,FBA,,
Flipkart,FLI_833450,Implemented static hierarchy,Electronics,238.33,29%,297,4.9,1940,Gomez Inc,85,#74,5.49%,False,False,,,,
Amazon,AMA_726763,Streamlined demand-driven focus group,Electronics,39.05,22%,8071,3.8,561,Barrera-Smith,42,#14,3.97%,,,True,FBM,,
Flipkart,FLI_227166,Adaptive stable toolset,Home,411.19,28%,8174,1.7,749,"Garcia, Conley and Johnson",86,#88,8.3%,True,True,,,,
Meesho,MEE_909656,Visionary motivating toolset,Home,258.29,31%,5577,3.8,887,Houston Ltd,65,#81,1.8%,,,,,,
Flipkart,FLI_542755,Digitized exuding pricing structure,Electronics,409.94,40%,8138,5.0,157,Myers-Walker,3,#30,9.5%,True,False,,,,
Myntra,MYN_561707,Enhanced stable moratorium,Home,499.67,35%,5252,3.3,1886,Houston and Sons,26,#100,7.09%,,,,,XL,True
Flipkart,FLI_985644,Customer-focused zero administration website,Fashion,89.35,23%,1811,4.0,185,"Gonzalez, Watson and Vance",21,#61,3.57%,False,False,,,,
Meesho,MEE_543285,Organized value-added hardware,Electronics,52.46,37%,7239,3.7,307,"Duke, Hayes and Hood",39,#56,7.05%,,,,,,
Amazon,AMA_691652,Operative disintermediate Graphical User Interface,Electronics,147.29,29%,2916,4.9,100,Singleton-Brock,70,#11,4.2%,,,True,FBM,,
Amazon,AMA_836600,Pre-emptive demand-driven policy,Beauty,489.48,14%,6214,4.0,65,"Taylor, Hall and Hayes",35,#9,8.65%,,,False,FBA,,
Myntra,MYN_787876,Horizontal disintermediate utilization,Fashion,264.9,48%,275,2.6,1167,Simmons-Baker,78,#68,1.86%,,,,,XL,False
Amazon,AMA_796586,Multi-layered discrete protocol,Fashion,467.26,41%,1798,1.0,1149,Scott-Gonzales,52,#39,8.23%,,,False,FBA,,
Flipkart,FLI_880148,Ameliorated contextually-based software,Home,6.66,36%,9915,4.9,200,"Cooper, Riggs and Wheeler",27,#18,8.65%,True,False,,,,
Flipkart,FLI_903496,Programmable grid-enabled approach,Electronics,164.44,36%,3213,1.8,1614,Castillo LLC,93,#30,7.68%,True,True,,,,
Meesho,MEE_369514,Advanced uniform ability,Electronics,222.25,40%,435,1.3,622,Davis LLC,10,#47,8.17%,,,,,,
Meesho,MEE_632698,Multi-tiered full-range Graphical User Interface,Beauty,139.27,43%,2231,4.5,1317,Hansen LLC,54,#4,2.49%,,,,,,
Meesho,MEE_911811,Multi-layered empowering collaboration,Electronics,49.67,16%,9195,2.4,121,"Hernandez, Alvarez and Brady",83,#52,0.84%,,,,,,
Myntra,MYN_351370,Extended transitional alliance,Fashion,181.09,38%,7032,4.5,37,Evans-Lopez,95,#73,5.6%,,,,,L,False
Amazon,AMA_620225,Distributed 3rdgeneration capability,Home,437.05,30%,5815,1.1,1086,Johnson LLC,14,#70,5.98%,,,True,FBA,,
Meesho,MEE_255675,Managed logistical functionalities,Home,454.89,18%,3500,1.2,1006,Robbins Ltd,80,#85,9.28%,,,,,,
Myntra,MYN_500418,Customer-focused eco-centric array,Fashion,141.83,27%,2348,2.6,1426,"Stone, Reyes and Tapia",47,#94,5.51%,,,,,M,False
Meesho,MEE_822144,Reactive client-server help-desk,Beauty,219.11,49%,2928,1.5,1811,"King, Byrd and Roberts",76,#11,9.24%,,,,,,
Myntra,MYN_662251,Open-source regional moderator,Home,488.93,26%,5375,3.2,552,"Porter, Bullock and Burns",42,#43,3.13%,,,,,L,False
Flipkart,FLI_727274,Total radical product,Home,428.94,41%,9439,4.3,1273,Ali-Leach,66,#12,5.62%,False,False,,,,
Flipkart,FLI_672834,Managed disintermediate hierarchy,Home,55.4,18%,6714,1.4,271,Rodriguez-Abbott,86,#72,2.81%,False,False,,,,
Flipkart,FLI_550821,Seamless intangible focus group,Beauty,167.91,27%,3277,1.8,74,"Rice, Phillips and Stevens",84,#13,9.69%,False,True,,,,
Meesho,MEE_864041,Polarized disintermediate info-mediaries,Fitness,180.21,1%,4998,1.7,1894,Campbell Group,86,#56,5.82%,,,,,,
Flipkart,FLI_730439,Persevering high-level projection,Home,19.36,14%,9638,4.8,1274,Chen-Hunt,32,#7,7.18%,False,True,,,,
Amazon,AMA_422751,Ameliorated methodical framework,Home,362.22,24%,7516,3.0,89,"Moore, Walker and Newman",68,#27,2.15%,,,True,FBM,,
Myntra,MYN_167030,Seamless client-driven structure,Beauty,344.94,22%,5538,2.9,1225,Anderson-Thompson,55,#2,1.67%,,,,,L,True
Myntra,MYN_558481,Optimized explicit core,Fitness,68.88,2%,8943,2.8,1338,White and Sons,29,#7,8.1%,,,,,M,False
Meesho,MEE_982541,Integrated next generation encryption,Electronics,170.37,42%,3020,3.2,520,"Vaughn, Smith and Richard",48,#16,6.91%,,,,,,
Myntra,MYN_354359,Streamlined multi-tasking intranet,Home,36.56,49%,6630,1.7,618,"Maddox, Solomon and Gordon",53,#23,7.77%,,,,,S,False
Amazon,AMA_785888,Assimilated discrete monitoring,Electronics,75.46,4%,608,4.4,907,Valencia and Sons,99,#45,0.41%,,,False,FBA,,
Meesho,MEE_288950,Vision-oriented human-resource attitude,Beauty,58.1,23%,9170,4.9,415,"Ritter, Foster and Park",33,#49,8.02%,,,,,,
Myntra,MYN_186113,Re-engineered actuating protocol,Fitness,189.91,23%,9257,2.2,1265,Murphy and Sons,15,#72,5.39%,,,,,XL,False
Meesho,MEE_707586,Implemented needs-based process improvement,Home,58.84,44%,779,3.7,1836,"Ortiz, Martin and Luna",3,#46,0.84%,,,,,,
Flipkart,FLI_906925,Profit-focused local architecture,Beauty,39.96,42%,9418,2.2,1194,George-Kennedy,33,#70,1.53%,True,False,,,,
